wb-id,user-id,user-name,clean_content,full_content,related_video,related_pics,retweet,forward,comment,like,created at,relative time
4470134171071632,6105881353,爽朗的微微笑527,女儿要求安乐死，她不忍受疼痛的折磨了，她爸今天大哭，从没见过她爸流泪。路，没了  ,"女儿要求安乐死，她不忍受疼痛的折磨了，她爸今天大哭，从没见过她爸流泪。路，没了 <a data-url=""http://t.cn/z8A5K27"" href=""http://weibo.com/p/100101B2094757D068A3FB4199"" data-hide=""""><span class='url-icon'><img style='width: 1rem;height: 1rem' src='https://h5.sinaimg.cn/upload/2015/09/25/3/timeline_card_small_location_default.png'></span><span class=""surl-text"">武汉·华中科技大学同济医学院附属协和医院</span></a> ",{},{},{},65652,6541,101759,1581594400.392857,02-09
4470062193218631,6105881353,爽朗的微微笑527,我又一次被逼上绝路，难道就这样等死吗？  ,"我又一次被逼上绝路，难道就这样等死吗？ <a data-url=""http://t.cn/z8A5K27"" href=""http://weibo.com/p/100101B2094757D068A3FB4199"" data-hide=""""><span class='url-icon'><img style='width: 1rem;height: 1rem' src='https://h5.sinaimg.cn/upload/2015/09/25/3/timeline_card_small_location_default.png'></span><span class=""surl-text"">武汉·华中科技大学同济医学院附属协和医院</span></a> ",{},{},{},13,69,794,1581594405.692533,02-09
4470058866582945,6105881353,爽朗的微微笑527,谁有办法呀！让她出省  ,"谁有办法呀！让她出省 <a data-url=""http://t.cn/z8A5K27"" href=""http://weibo.com/p/100101B2094757D068A3FB4199"" data-hide=""""><span class='url-icon'><img style='width: 1rem;height: 1rem' src='https://h5.sinaimg.cn/upload/2015/09/25/3/timeline_card_small_location_default.png'></span><span class=""surl-text"">武汉·华中科技大学同济医学院附属协和医院</span></a> ",{},{},{},39,89,668,1581594408.965306,02-09
4470056513431439,6105881353,爽朗的微微笑527,神呀！你快显令，放过湖北，放过武汉，放过我女儿，让疫情的战争全面胜利。  ,"神呀！你快显令，放过湖北，放过武汉，放过我女儿，让疫情的战争全面胜利。 <a data-url=""http://t.cn/z8A5K27"" href=""http://weibo.com/p/100101B2094757D068A3FB4199"" data-hide=""""><span class='url-icon'><img style='width: 1rem;height: 1rem' src='https://h5.sinaimg.cn/upload/2015/09/25/3/timeline_card_small_location_default.png'></span><span class=""surl-text"">武汉·华中科技大学同济医学院附属协和医院</span></a> ",{},{},{},15,45,614,1581594414.227851,02-09
4470056152801325,6105881353,爽朗的微微笑527,老天爷真的想收了我的女儿吗？把所有的路都切断  ,"老天爷真的想收了我的女儿吗？把所有的路都切断 <a data-url=""http://t.cn/z8A5K27"" href=""http://weibo.com/p/100101B2094757D068A3FB4199"" data-hide=""""><span class='url-icon'><img style='width: 1rem;height: 1rem' src='https://h5.sinaimg.cn/upload/2015/09/25/3/timeline_card_small_location_default.png'></span><span class=""surl-text"">武汉·华中科技大学同济医学院附属协和医院</span></a> ",{},{},{},10,28,224,1581594419.485507,02-09
4470055843072018,6105881353,爽朗的微微笑527,女儿做Cart治疗，二个月后复发，我们想去陆道培医院，可怎么去呀！  ,"女儿做Cart治疗，二个月后复发，我们想去陆道培医院，可怎么去呀！ <a data-url=""http://t.cn/z8A5K27"" href=""http://weibo.com/p/100101B2094757D068A3FB4199"" data-hide=""""><span class='url-icon'><img style='width: 1rem;height: 1rem' src='https://h5.sinaimg.cn/upload/2015/09/25/3/timeline_card_small_location_default.png'></span><span class=""surl-text"">武汉·华中科技大学同济医学院附属协和医院</span></a> ",{},{},{},23,103,1055,1581594424.741168,02-09
4469794764239650,6105881353,爽朗的微微笑527,女儿在疫情到来时，在病床联系救灾物质，联系热心人为医生护士提供米饭，把手机号交给给她换药的男护士，关心医护人员，因为这场疫情没有热饭吃。把抗毒联盟的微信交给好多医院的医护人员，让他们能领到救灾物资。她立志要做一个志愿者。当她发现－个网红媒体人抨击诽谤抗毒联盟的高价购买护目镜，口罩造假一些不实传言，她及时告知了抗毒联盟的人。女儿是一个热情待人，爱打抱不平，热爱生命，可命运对她不公，该移植了，移植仓因为这场全国人民的战争停，骨穿做了八天了，也因为这场疫情到现在也没结果，教授说可以回输卡替细胞，交通不便，公司那边细胞过不来，这场疫情对她这个白血病重症患者不公，她也要活。 ,"女儿在疫情到来时，在病床联系救灾物质，联系热心人为医生护士提供米饭，把手机号交给给她换药的男护士，关心医护人员，因为这场疫情没有热饭吃。把抗毒联盟的微信交给好多医院的医护人员，让他们能领到救灾物资。她立志要做一个志愿者。当她发现－个网红媒体人抨击诽谤抗毒联盟的高价购买护目镜，口罩造假一些不实传言，她及时告知了抗毒联盟的人。女儿是一个热情待人，爱打抱不平，热爱生命，可命运对她不公，该移植了，移植仓因为这场全国人民的战争停，骨穿做了八天了，也因为这场疫情到现在也没结果，教授说可以回输卡替细胞，交通不便，公司那边细胞过不来，这场疫情对她这个白血病重症患者不公，她也要活。 <a data-url=""http://t.cn/z8A5K27"" href=""http://weibo.com/p/100101B2094757D068A3FB4199"" data-hide=""""><span class='url-icon'><img style='width: 1rem;height: 1rem' src='https://h5.sinaimg.cn/upload/2015/09/25/3/timeline_card_small_location_default.png'></span><span class=""surl-text"">武汉·华中科技大学同济医学院附属协和医院</span></a>",{},"[{'pid': '006FdEFjly1gbp9qhfpgnj30k00zk11m', 'url': 'https://wx2.sinaimg.cn/orj360/006FdEFjly1gbp9qhfpgnj30k00zk11m.jpg', 'size': 'orj360', 'geo': {'width': 360, 'height': 640, 'croped': False}, 'large': {'size': 'large', 'url': 'https://wx2.sinaimg.cn/large/006FdEFjly1gbp9qhfpgnj30k00zk11m.jpg', 'geo': {'width': '720', 'height': '1280', 'croped': False}}}]",{},370,70,522,1581594431.030494,02-08
4469743064963625,6105881353,爽朗的微微笑527,一百八十天，我和我的女儿住在医院这么久了，眼泪都哭干了。她睡着了，真香。真怕醒来后的你还是疼，疼在你身上，像刀扎在我心上，心痛，对不起，让你受苦了，不该带你来到这世上。  ,"一百八十天，我和我的女儿住在医院这么久了，眼泪都哭干了。她睡着了，真香。真怕醒来后的你还是疼，疼在你身上，像刀扎在我心上，心痛，对不起，让你受苦了，不该带你来到这世上。 <a data-url=""http://t.cn/z8A5K27"" href=""http://weibo.com/p/100101B2094757D068A3FB4199"" data-hide=""""><span class='url-icon'><img style='width: 1rem;height: 1rem' src='https://h5.sinaimg.cn/upload/2015/09/25/3/timeline_card_small_location_default.png'></span><span class=""surl-text"">武汉·华中科技大学同济医学院附属协和医院</span></a> ",{},{},{},1561,178,1926,1581594437.310582,02-08
4469736177885451,6105881353,爽朗的微微笑527,我没用，只有哭  ,"我没用，只有哭 <a data-url=""http://t.cn/z8A5K27"" href=""http://weibo.com/p/100101B2094757D068A3FB4199"" data-hide=""""><span class='url-icon'><img style='width: 1rem;height: 1rem' src='https://h5.sinaimg.cn/upload/2015/09/25/3/timeline_card_small_location_default.png'></span><span class=""surl-text"">武汉·华中科技大学同济医学院附属协和医院</span></a> ",{},{},{},10,35,188,1581594441.603559,02-08
4469735951793292,6105881353,爽朗的微微笑527,女儿说妈妈，我走后，你替我到处去旅游，到处看看，因为我喜欢旅游。  ,"女儿说妈妈，我走后，你替我到处去旅游，到处看看，因为我喜欢旅游。 <a data-url=""http://t.cn/z8A5K27"" href=""http://weibo.com/p/100101B2094757D068A3FB4199"" data-hide=""""><span class='url-icon'><img style='width: 1rem;height: 1rem' src='https://h5.sinaimg.cn/upload/2015/09/25/3/timeline_card_small_location_default.png'></span><span class=""surl-text"">武汉·华中科技大学同济医学院附属协和医院</span></a> ",{},{},{},38,80,587,1581594448.052575,02-08
